order_id	rider_id	city_id	rider_lat	rider_lng	new_from_lat	new_from_lng	new_to_lat	new_to_lng	event_time	dpch_success	feats_list	pt
407430903594301952	1695200	19	23.226357	113.305267	23.222605	113.304062	23.213551	113.28527	1551456043412	1	{"concat_rider_features": ["5", "8.0", "2", "1293.2183588317107", "399.302649930265", "1000", "8", "1", "464", "1007.2521739130435", "24.789173913043474", "93.93279049412514", "2755.2817365799624", "4734.0", "3.9310068190934624", "5.5", "7.8", "1.9545454545454546", "0.7657826019045081", "2.4347826086956523", "1095.1363636363637", "1438.1363636363637", "1166.891304347826", "1288.58347386172", "10", "0", "92", "0.32751091703056767", "0.27474402730375425", "0.3125", "0.125", "0.375", "0.1875", "0.0", "0.045454545454545456", "61.750001", "451.000001", "1008.800001", "1026.450001", "93.8", "2607.083335", "0.49019607843137253", "0.0392156862745098", "0.05882352941176471", "7", "3"], "concat_neworder_features": ["0", "5", "960", "20.0", "0.0", "1", "37", "0.8445458821089277", "0.5489776979181127", "1027", "27000", "1582.4888949105086", "0.02282556438132237", "0.7677689837353887", "0.4734078149206272"], "concat_share_features": {"407430903594301952": ["16", "960", "15", "942", "0", "0", "7.923333600000001", "2992", "-431.4119999408722", "2168.376946538556", "4.2295082712131915", "435.02132119631005", "2673.1056674988668", "2673.1056674988668", "1081.4119999408722", "-1678961.0", "0.0", "4336.753893077112", "13", "46", "116", "135", "286", "562", "722", "0.11304347826086956", "0.16083916083916083", "0.20640569395017794", "0.18698060941828254", "9.026724137931035", "9.526297577854669", "10.103892617449656", "116", "107.12477087684896", "3", "4", "6", "8", "4", "9", "20", "30", "0.75", "0.4444444444444444", "0.3", "0.26666666666666666", "10.15", "10.31111111111111", "9.280952380952382", "10.466666666666665", "4", "69.72173636508188", "6", "179.96296296296296", "3615.0", "1439.0", "1778.851851851852", "5", "24.802934051143968", "1540.528936742934", "1", "755.9794520547945", "719.3425253991292", "718.6037735849056", "94", "118", "121", "27", "0.18518518518518517", "0.9166545212267588", "0.10116804430656477"], "407426140685283328": ["15", "955", "15", "942", "10", "52373", "2.9901514545454546", "2992", "-431.4119999408722", "1726.8408027630753", "4.048128005180681", "90.87176550811861", "1965.6399110049506", "1965.6399110049506", "1081.4119999408722", "-833961.0", "299412.0", "2.783744268877456", "13", "46", "116", "135", "286", "562", "722", "0.11304347826086956", "0.16083916083916083", "0.20640569395017794", "0.18698060941828254", "9.026724137931035", "9.526297577854669", "10.103892617449656", "116", "107.12477087684896", "0", "2", "4", "4", "9", "19", "38", "49", "0.0", "0.10526315789473684", "0.10526315789473684", "0.08163265306122448", "7.8999999999999995", "9.200000000000001", "9.005128205128207", "10.127450980392156", "9", "90.83574850653574", "8", "117.62903225806451", "4649.0", "1730.0", "2022.0645161290322", "7", "36.85683531746035", "1853.1309523809523", "8", "1248.6164948453609", "1232.032", "1232.032", "90", "112", "112", "62", "0.0967741935483871", "0.9595351285814562", "0.05817273945504435"]}}	20190302
407431809735981568	3355075	31	29.997325	120.619534	29.992874	120.606918	29.996549	120.601229	1551457310393	1	{"concat_rider_features": ["1", "3.9285714285714284", "3", "2669.8846153846152", "1013.7307692307693", "1600", "4", "0", "1", "274.42857142857144", "35.14142857142857", "212.85302593659944", "2097.997339784658", "5840.0", "2.1674652064795805", "7.0", "11.5", "1.4285714285714286", "2.248388241085208", "1.4285714285714286", "3868.8571428571427", "1743.0", "3868.8571428571427", "3868.8571428571427", "0", "0", "7", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "25.716667", "43.7", null, null, null, null, null], "concat_neworder_features": ["0", "5", "981", "7.0", "0.19", "1", "26", "1", "1", "2595", "359358", "2359.090909090909", "0.038461538461538464", "0.9090909090909091", "3.7909638006793056"], "concat_share_features": {"407431809735981568": ["16", "981", "15", "946", "0", "359358", null, "1206", "-1425.3929998874664", "683.5224951857889", "5.35323773623008", "1311.9727012067056", "729.4863891629119", "729.4863891629119", "2132.3929998874664", "-801965.0", "0.0", "1367.0449903715778", "5", "13", "22", "38", "152", "238", "343", "0.08620689655172414", "0.08552631578947369", "0.09243697478991597", "0.11078717201166181", "6.682089552238804", "6.432026143790857", "6.682352941176477", "67", "119.64456717813954", "0", "0", "0", "0", "1", "1", "9", "17", "0.0", "0.0", "0.0", "0.0", "5.5", "1.375", "4.24375", "5.928", "1", null, "0", "105.2", "2556.0", "2332.0", "1232.8", "0", "51.45308641975307", "2292.814814814815", "0", "514.7272727272727", "544.046875", "525.5802469135803", "24", "33", "40", "5", "0.0", "1.8113238157040883", "0.08533419857235562"]}}	20190302
407431964228884992	2268628	9	22.673892	113.992942	22.675137	113.99371	22.652767	114.006725	1551456650231	1	{"concat_rider_features": ["3", "4.0", "0", "2067.923076923077", "264.8076923076923", "1000", "4", "0", "3", "285.5", "36.63", "93.74952895364906", "1544.455179330884", "4929.0", "2.809343434343434", "5.5", "8.899999999999999", "1.8", "1.0865245898074412", "1.8", "1502.0", "1342.75", "1502.0", "2132.608695652174", "1", "0", "5", "0.0", "0.5454545454545454", "1.0", "0.0", "0.0", "0.0", "0.0", "0.2", "0.0", "0.0", "0.0", "0.0", "18.6", "219.416666", "1.0", "0.0", "0.0", "0", "0"], "concat_neworder_features": ["0", "5", "970", "21.0", "0.0", "1", "53", "1", "1", "3879", "0", "3526.363636363636", "0.018867924528301886", "0.9090909090909091", "1.3733775709103246"], "concat_share_features": {"407431964228884992": ["16", "970", "15", "946", "0", "0", "4.495977000000001", "3217", "-451.23099994659424", "2823.4235832603977", "2.64891264201739", "159.302024375346", "2715.136083728909", "2715.136083728909", "1436.2309999465942", "-1169946.0", "0.0", "5646.847166520795", "3", "13", "24", "35", "100", "171", "220", "0.06666666666666667", "0.13", "0.14035087719298245", "0.1590909090909091", "8.399999999999999", "8.6593023255814", "8.91644444444445", "45", "72.72921621549398", "1", "5", "10", "13", "39", "90", "157", "236", "0.02564102564102564", "0.05555555555555555", "0.06369426751592357", "0.05508474576271186", "8.705128205128204", "8.59673913043478", "8.796250000000002", "9.295020746887973", "39", "107.49813096442234", "0", null, null, null, null, "0", "107.12391304347825", "1853.5869565217392", "3", "936.0", "808.2647058823529", "843.3255813953489", "9", "24", "32", "0", "0.0", "0.0", "0.0"]}}	20190302
407432077038850048	1877330	1	30.311418	120.171921	30.307627	120.169913	30.304842	120.154621	1551456039403	1	{"concat_rider_features": ["5", "10.347826086956522", "1", "2004.9958847736625", "424.4650205761317", "2400", "10", "1", null, "872.75", "19.423419540229897", "141.80490460230132", "2513.4877952934858", "4026.0", "2.632911392405063", "5.5", "7.5", "2.4262295081967213", "1.3101003428763058", "2.9342105263157894", "1888.875", "1476.7540983606557", "1976.3935483870969", "1977.893470790378", "31", "27", "155", "0.3168604651162791", "0.2045060658578856", "0.09836065573770492", "0.03278688524590164", "0.03278688524590164", "0.39344262295081966", "0.4426229508196721", "0.15555555555555556", "128.583334", "470.950001", "652.766667", "845.966666", "188.283333", "2183.916668", "0.6713286713286714", "0.02097902097902098", "0.04195804195804196", "21", "6"], "concat_neworder_features": ["0", "5", "960", "7.0", "0.0", "0", "21", "0.9723647421978756", "0.9723647421978756", "543", "0", "506.3575653252913", "0.0463030829618036", "9.723647421978756", "0.3616579954555856"], "concat_share_features": {"407434049435471872": ["16", "960", "15", "947", "5", "0", "2.005747206896552", "1684", "-190.40300011634827", "1440.2223840339586", "4.4176658693822075", "290.08618227112", "1789.2378959638165", "1789.2378959638165", "798.4030001163483", "-934597.0", "3403.0", "4.266933160627943", "0", "4", "8", "12", "39", "83", "120", "0.0", "0.10256410256410256", "0.0963855421686747", "0.1", "7.6", "6.526749999999992", "6.813908045977006", "5", "49.23519884829944", "0", "2", "3", "7", "10", "19", "33", "54", "0.0", "0.10526315789473684", "0.09090909090909091", "0.12962962962962962", "7.754545454545456", "5.639285714285717", "5.86734693877551", "7.323287671232871", "11", "77.96382100920344", "11", "233.21008403361344", "4983.0", "2584.0", "1422.1016949152543", "10", "24.977186282151294", "2302.6383476227593", "2", "351.3486111111111", "360.8916349809886", "376.3817330210773", "129", "147", "165", "119", "0.06722689075630252", "1.708856740636758", "0.16398973777153883"], "407432077038850048": ["16", "960", "15", "947", "0", "0", "2.0314814444444447", "1684", "-190.40300011634827", "1500.4184860367193", "4.504484592273422", "463.5501733994196", "1939.690531822535", "1939.690531822535", "798.4030001163483", "-1222597.0", "0.0", "3000.8369720734386", "0", "4", "8", "12", "39", "83", "120", "0.0", "0.10256410256410256", "0.0963855421686747", "0.1", "7.6", "6.526749999999992", "6.813908045977006", "5", "49.23519884829944", "2", "3", "3", "3", "5", "12", "13", "15", "0.4", "0.25", "0.23076923076923078", "0.2", "8.0", "8.233333333333336", "8.400000000000002", "8.400000000000002", "5", "149.53271028037383", "1", "190.25806451612902", "4064.0", "2241.0", "1277.6451612903227", "5", "22.049620535714286", "2218.4665178571427", "0", "308.3478260869565", "351.18526785714283", "351.18526785714283", "75", "110", "110", "31", "0.03225806451612903", "1.6796273386017622", "0.14891307092180672"]}}	20190302
407432763726258176	944733	38	28.684425	115.924744	28.679794	115.920954	28.674817	115.956914	1551456020901	1	{"concat_rider_features": ["4", "9.0", "0", "2360.093655589124", "832.1570996978852", "3000", "9", "0", "61", "226.91129032258064", "27.615645161290335", "120.35910993610928", "1811.0847362025393", "5569.0", "2.291510142749812", "5.8", "7.7", "1.6", "1.5628051559719747", "1.7678571428571428", "2346.375", "1566.8666666666666", "2473.0344827586205", "2351.4225352112676", "25", "0", "58", "0.375", "0.3678571428571429", "0.4782608695652174", "0.043478260869565216", "0.34782608695652173", "0.13043478260869565", "0.0", "0.0", "3.783334", "34.233334", "59.950001", "152.183335", "72.566667", "667.283336", "0.3620689655172414", "0.05172413793103448", "0.15517241379310345", "15", "9"], "concat_neworder_features": ["0", "5", "960", "7.0", "0.0", "2", "45", "1", "1", "5445", "0", "4950.0", "0.022222222222222223", "0.47619047619047616", "1.5326401289746834"], "concat_share_features": {"407432763726258176": ["16", "960", "15", "950", "0", "0", "2.4189743384615383", "4068", "163.09899997711182", "3551.693092828409", "1.7272650668566816", "633.9620292059587", "2892.742052685451", "2892.742052685451", "615.9010000228882", "-1425966.0", "0.0", "7103.386185656818", "7", "25", "33", "47", "124", "216", "351", "0.1346153846153846", "0.20161290322580644", "0.1527777777777778", "0.1339031339031339", "7.283928571428572", "7.7737642585551345", "8.699315068493155", "56", "78.60747296670357", "1", "4", "7", "8", "20", "51", "101", "139", "0.05", "0.0784313725490196", "0.06930693069306931", "0.05755395683453238", "7.1049999999999995", "6.816666666666668", "8.779279279279276", "9.231410256410253", "20", "67.84765357324432", "1", "425.6", "4006.0", "2887.0", "1515.3", "1", "45.412985074626825", "2678.6194029850744", "3", "297.4166666666667", "433.0125", "472.39694656488547", "33", "54", "76", "10", "0.1", "1.6749158582458918", "0.2808684748894609"]}}	20190302
407433878077181952	1884044	1	30.338866	120.078099	30.34018	120.069422	30.325632	120.076859	1551455974140	1	{"concat_rider_features": ["5", "8.0", "11", "1768.738053097345", "758.1716814159292", "1000", "8", "0", "232", "364.3720930232558", "27.66604651162789", "110.39737505034319", "2307.466084637598", "5008.0", "2.8138528138528143", "5.5", "8.0", "2.1470588235294117", "1.3748224058320595", "2.372549019607843", "2045.3529411764705", "1457.0294117647059", "1920.4411764705883", "1708.831955922865", "60", "2", "102", "0.2734375", "0.2157676348547718", "0.32142857142857145", "0.03571428571428571", "0.21428571428571427", "0.35714285714285715", "0.07142857142857142", "0.0", "240.033334", "774.266667", "1566.533333", "2169.883333", "75.766667", "1213.100001", "0.7090909090909091", "0.0", "0.01818181818181818", "6", "1"], "concat_neworder_features": ["0", "5", "959", "7.0", "0.0", "0", "21", "1", "1", "3400", "0", "3090.9090909090905", "0.047619047619047616", "10.0", "1.9217322983035674"], "concat_share_features": {"407433878077181952": ["15", "959", "15", "954", "0", "0", "2.5656028723404254", "2136", "459.8599998950958", "1768.237059189457", "2.726088788774363", "845.4747777725573", "1900.6699152180265", "1900.6699152180265", "303.1400001049042", "-1191860.0", "0.0", "3536.474118378914", "3", "9", "12", "12", "81", "113", "118", "0.1", "0.1111111111111111", "0.10619469026548672", "0.1016949152542373", "7.818181818181822", "7.373529411764697", "7.045637583892611", "33", "115.58780155436226", "0", "0", "3", "4", "13", "37", "67", "81", "0.0", "0.0", "0.04477611940298507", "0.04938271604938271", "7.584615384615385", "6.721428571428573", "6.957831325301198", "6.615887850467283", "13", "192.27734392633056", "0", "270.0", "2530.0", "1883.0", "1167.5", "0", "36.756097560975604", "1534.1463414634147", "2", "168.92857142857142", "167.8918918918919", "163.07692307692307", "12", "28", "30", "2", "0.0", "1.8899357601713063", "0.23126338329764454"]}}	20190302
407434035674107904	2212206	37	22.380658	113.542604	22.375166	113.543662	22.351793	113.545148	1551456026507	0	{"concat_rider_features": ["4", "8.2", "6", "2550.22131147541", "484.1393442622951", "1400", "8", "0", "136", "642.1746031746031", "27.200238095238106", "119.50449133623896", "1737.0267925465744", "5247.0", "2.7369488089204257", "6.2", "8.4", "3.0", "0.984461626161671", "2.8125", "2024.6875", "2134.0625", "2431.75", "2395.6369426751594", "27", "0", "32", "0.3548387096774194", "0.2838709677419355", "0.16666666666666666", "0.08333333333333333", "0.5", "0.25", "0.0", "0.0", "58.366667", "103.316668", "154.566668", "154.566668", "30.433333", "218.95", "0.4827586206896552", "0.13793103448275862", "0.20689655172413793", "10", "6"], "concat_neworder_features": ["0", "5", "960", "21.0", "0.0", "0", "6", "1", "1", "4193", "0", "3811.8181818181815", "0.16666666666666666", "10.0", "1.6098391878667502"], "concat_share_features": {"407434035674107904": ["16", "960", "15", "955", "0", "0", "1.9035714999999997", "3812", "468.4930000305176", "2603.6079829602604", "3.082869304653678", "620.3343944540868", "2805.2943820075325", "2805.2943820075325", "318.5069999694824", "-1400493.0", "0.0", "5207.215965920521", "4", "5", "6", "7", "21", "40", "57", "0.36363636363636365", "0.23809523809523808", "0.15", "0.12280701754385964", "8.19090909090909", "6.831372549019609", "6.144047619047621", "11", "53.36184914041293", "0", "0", "0", "1", "0", "2", "3", "3", "0.0", "0.0", "0.0", "0.3333333333333333", "0.0", "2.35", "3.2857142857142856", "2.3", "3", null, "25", "299.57142857142856", "5389.0", "2242.0", "1849.7826086956522", "9", "23.9169850402761", "2487.7123130034524", "7", "327.19675925925924", "315.54985754985756", "323.24913093858635", "83", "92", "100", "72", "0.20833333333333334", "1.1594005040414723", "0.16194953242784949"]}}	20190302
407434248480532992	2423582	42	22.793446	108.301627	22.785526	108.301869	22.807261	108.289374	1551456073772	1	{"concat_rider_features": ["4", "6.0", "5", "3051.03", "1121.5", "1800", "6", "0", "66", "352.4201680672269", "25.560756302521014", "142.05621015339824", "1386.769794649237", "5141.0", "2.039592081583683", "5.699999999999999", "7.6", "1.5555555555555556", "1.4013196943835415", "1.4821428571428572", "2719.5", "1916.2222222222222", "2708.214285714286", "2835.315789473684", "17", "0", "56", "0.28205128205128205", "0.25190839694656486", "0.125", "0.125", "0.4375", "0.3125", "0.0", "0.0", "0.183333", "5.55", "5.55", "5.55", "182.8", "1206.116666", "0.1875", "0.0625", "0.125", "2", "2"], "concat_neworder_features": ["0", "5", "961", "20.0", "0.0", "3", "35", "1", "1", "4705", "0", "4277.272727272727", "0.02857142857142857", "0.3225806451612903", "1.7193985031706498"], "concat_share_features": {"407434248480532992": ["16", "961", "15", "955", "0", "0", null, "4157", "618.2279999256134", "2735.4220634854364", "5.795814052120858", "881.0675258876742", "2834.5657472394073", "2834.5657472394073", "314.7720000743866", "-1652228.0", "0.0", "5470.844126970873", "8", "20", "28", "52", "213", "383", "582", "0.08", "0.09389671361502347", "0.0731070496083551", "0.08934707903780069", "7.400990099009897", "7.264661654135347", "7.931168831168836", "101", "72.5376031052887", "2", "2", "3", "3", "2", "3", "6", "11", "1.0", "0.6666666666666666", "0.5", "0.2727272727272727", "9.350000000000001", "8.566666666666666", "8.4", "9.436363636363636", "2", "15.459869100930076", "0", "259.2121212121212", "3582.0", "2488.0", "1649.3030303030303", "0", "29.700377358490574", "2488.752830188679", "1", "542.0055865921788", "522.3605769230769", "542.984877126654", "85", "140", "157", "34", "0.0", "1.5134735247103783", "0.157164642548735"]}}	20190302
407434392441638912	1243012	45	30.632871	120.564425	30.63841	120.558532	30.641545	120.554119	1551455982869	1	{"concat_rider_features": ["5", "5.0", "1", "2268.1649305555557", "775.4131944444445", "3000", "5", "1", "44", "574.704081632653", "38.27948979591837", "133.11037197522194", "1941.7865271740454", "5561.0", "2.2867513611615244", "5.3", "7.3", "2.0", "1.1355568491286028", "1.6585365853658536", "1747.6", "1557.3", "2187.7804878048782", "2112.703781512605", "37", "1", "41", "0.2755102040816326", "0.208955223880597", "0.25", "0.375", "0.125", "0.125", "0.125", "0.0", "0.0", "-2.833333", "95.783334", "173.7", "950.033333", "6141.549998", "0.7058823529411765", "0.0", "0.0", "1", "0"], "concat_neworder_features": ["0", "5", "959", "6.0", "0.0", "0", "87", "0.9940913216140745", "0.9950808250144608", "-2", "0", "-1.826349210318416", "0.011426337030046833", "9.940913216140745", "-0.003646015791208073"], "concat_share_features": {"407434392441638912": ["15", "959", "15", "956", "0", "0", "2.111011946428572", "757", "695.1310000419617", "547.5439763653133", "5.402583504808076", "835.0532016030585", "971.4702142152913", "971.4702142152913", "189.86899995803833", "-984131.0", "0.0", "1095.0879527306265", "9", "23", "40", "55", "197", "402", "569", "0.10975609756097561", "0.116751269035533", "0.09950248756218906", "0.09666080843585237", "6.2341176470588255", "4.473667711598748", "4.990836197021781", "85", "74.63482481176388", "2", "5", "10", "13", "12", "36", "68", "126", "0.16666666666666666", "0.1388888888888889", "0.14705882352941177", "0.10317460317460317", "6.249999999999999", "6.527777777777779", "4.841414141414144", "5.990963855421682", "12", "189.27444794952677", "2", "81.04761904761905", "4808.0", "1538.0", "1765.7142857142858", "3", "27.14548387096772", "1968.1870967741936", "2", "862.4047619047619", "854.2173913043479", "843.8932038834952", "91", "144", "169", "21", "0.09523809523809523", "1.0247842502696871", "0.04590075512405609"], "407433596752812544": ["15", "956", "15", "956", "5", "0", "1.8287879090909092", "757", "695.1310000419617", "1774.8800815256077", "5.387129460811783", "838.2965584914285", "2189.4131014098666", "2189.4131014098666", "189.86899995803833", "-1608131.0", "182869.0", "1.8731568092537925", "9", "23", "40", "55", "197", "402", "569", "0.10975609756097561", "0.116751269035533", "0.09950248756218906", "0.09666080843585237", "6.2341176470588255", "4.473667711598748", "4.990836197021781", "85", "74.63482481176388", "0", "2", "4", "14", "18", "35", "59", "121", "0.0", "0.05714285714285714", "0.06779661016949153", "0.11570247933884298", "6.333333333333332", "5.3923076923076945", "4.286206896551728", "5.907361963190179", "18", "62.74589746203241", "2", "157.6590909090909", "4038.0", "2232.0", "1740.75", "4", "27.999892125134856", "2026.7044228694715", "16", "798.6755952380952", "846.7456", "882.2008781558727", "166", "226", "283", "44", "0.045454545454545456", "1.1528468659015836", "0.09056963430078467"]}}	20190302
407434451740561408	1114501	9	22.628697	114.108783	22.626486	114.115521	22.616846	114.10732	1551456248230	1	{"concat_rider_features": ["3", "4.0", "3", "2900.8767772511846", "779.6161137440758", "1300", "4", "1", "36", "212.40384615384616", "21.04173076923077", "141.92033264033265", "2025.6910173396423", "5866.0", "2.936918304033092", "7.5", "10.600000000000001", "1.75", "1.7786425398608023", "1.8095238095238095", "3238.75", "1877.375", "3007.904761904762", "2548.3296703296705", "9", "0", "21", "0.17307692307692307", "0.10989010989010989", "0.3333333333333333", "0.0", "0.0", "0.6666666666666666", "0.0", "0.0", "170.616666", "473.55", "940.950001", "940.950001", "55.1", "380.650001", "0.35714285714285715", "0.0", "0.14285714285714285", "3", "2"], "concat_neworder_features": ["0", "5", "964", "21.0", "0.0", "1", "23", "0.9408719849716344", "0.9408719849716344", "273", "0", "262.28009202057615", "0.04090747760746236", "0.8553381681560311", "0.20014573403972932"], "concat_share_features": {"407435130093738496": ["16", "964", "15", "956", "5", "0", "2.931568658823529", "2234", "115.76999998092651", "1678.8950167404546", "3.621517293765248", "623.7120321008397", "1362.738143240536", "1362.738143240536", "441.2300000190735", "-1545770.0", "4230.0", "4.721503009858452", "1", "2", "5", "5", "14", "35", "42", "0.16666666666666666", "0.14285714285714285", "0.14285714285714285", "0.11904761904761904", "12.666666666666666", "6.8183333333333325", "6.40625", "6", "75.33039647577093", "2", "3", "4", "5", "16", "30", "43", "69", "0.125", "0.1", "0.09302325581395349", "0.07246376811594203", "8.318750000000003", "8.74193548387097", "8.746666666666666", "9.126666666666667", "16", "156.56691626957115", "2", "242.54545454545453", "5279.0", "2636.0", "1784.7", "1", "26.710000000000033", "2890.810810810811", "0", "501.22641509433964", "469.60215053763443", "448.13513513513516", "27", "40", "43", "11", "0.18181818181818182", "1.7019921861071634", "0.135902647249092"], "407434451740561408": ["16", "964", "15", "956", "0", "0", null, "2234", "115.76999998092651", "1363.006089411873", "3.8072734313997083", "734.0054579576758", "1077.8885386992981", "1077.8885386992981", "441.2300000190735", "-1086770.0", "0.0", "2726.012178823746", "1", "2", "5", "5", "14", "35", "42", "0.16666666666666666", "0.14285714285714285", "0.14285714285714285", "0.11904761904761904", "12.666666666666666", "6.8183333333333325", "6.40625", "6", "75.33039647577093", "2", "3", "4", "5", "16", "30", "43", "69", "0.125", "0.1", "0.09302325581395349", "0.07246376811594203", "8.318750000000003", "8.74193548387097", "8.746666666666666", "9.126666666666667", "16", "156.56691626957115", "0", "174.88888888888889", "5944.0", "2894.0", "1812.111111111111", "1", "19.16015625", "3125.9453125", "0", "443.0952380952381", "521.9651162790698", "559.5390625", "17", "33", "35", "9", "0.0", "1.9428536390949782", "0.09651112882457538"]}}	20190302
